timestamp,tmpc_1,relh_1,sped_1,feel_1,tmpc_2,relh_2,sped_2,feel_2,tmpc_3,relh_3,sped_3,feel_3,ERCOT
2024-03-02 17:00:00,23.296666666666667,71.98333333333333,11.5,73.93333333333334,24.666666666666668,40.48333333333333,6.900000000000001,76.39999999999999,21.33333333333333,81.33333333333333,6.133333333333333,70.39999999999999,45233.731812
2024-03-02 18:00:00,20.816666666666663,83.02666666666666,10.733333333333334,69.46666666666667,22.0,49.70666666666667,6.900000000000001,71.60000000000001,20.666666666666668,84.74000000000001,7.666666666666667,69.2,45186.096987
2024-03-02 19:00:00,19.146666666666665,95.6,8.433333333333334,66.46666666666667,20.75,56.88333333333334,6.46875,69.35,20.0,88.26,9.583333333333334,68.0,45229.212029
2024-03-02 20:00:00,18.926666666666662,99.77,7.283333333333334,66.06666666666666,19.5,64.06,6.0375,67.1,19.666666666666668,90.14666666666666,8.816666666666668,67.39999999999999,45426.229475
2024-03-02 21:00:00,19.13,100.0,7.283333333333334,66.43333333333334,18.33333333333333,75.88,6.133333333333333,65.0,19.0,93.92,7.666666666666667,66.2,44735.37509
2024-03-02 22:00:00,18.87,100.0,6.900000000000001,65.96666666666667,18.0,79.17333333333333,8.049999999999999,64.4,16.666666666666668,97.96,5.366666666666667,62.0,43675.17823
2024-03-02 23:00:00,18.89,100.0,8.816666666666666,66.0,17.333333333333332,86.20666666666666,7.666666666666667,63.20000000000001,16.666666666666668,100.0,6.900000000000001,62.0,42129.483519
2024-03-03 00:00:00,18.96333333333333,100.0,8.816666666666666,66.13333333333334,17.0,88.0,5.366666666666667,62.6,15.666666666666666,100.0,7.283333333333334,60.2,40480.886556
2024-03-03 01:00:00,18.98,100.0,9.2,66.16666666666667,16.0,93.79,5.75,60.8,16.333333333333332,100.0,8.433333333333332,61.4,38895.956616
2024-03-03 02:00:00,18.89,100.0,6.900000000000001,66.0,16.666666666666668,89.93,8.816666666666666,62.0,17.0,100.0,5.75,62.6,37619.749672
2024-03-03 03:00:00,18.646666666666665,100.0,4.983333333333333,65.56666666666666,17.0,88.0,9.583333333333334,62.6,17.0,100.0,2.6833333333333336,62.6,36841.504344
2024-03-03 04:00:00,18.536666666666665,100.0,3.4500000000000006,65.36666666666666,16.666666666666668,86.14,4.983333333333333,62.0,17.0,100.0,1.5333333333333332,62.6,36437.267364
2024-03-03 05:00:00,18.256666666666664,100.0,1.5333333333333332,64.86666666666666,15.333333333333334,91.8,0.0,59.6,17.333333333333332,100.0,3.0666666666666664,63.20000000000001,36361.8214
2024-03-03 06:00:00,18.183333333333334,100.0,2.6833333333333336,64.73333333333333,16.0,90.855,1.725,60.8,18.0,100.0,1.9166666666666667,64.4,36821.8743
2024-03-03 07:00:00,18.646666666666665,100.0,4.983333333333333,65.56666666666666,16.333333333333332,91.86,3.8333333333333335,61.4,18.33333333333333,100.0,0.0,65.0,37550.598599
2024-03-03 08:00:00,19.906666666666663,100.0,5.366666666666667,67.83333333333333,18.0,82.74,8.816666666666666,64.39999999999999,19.0,100.0,3.0666666666666664,66.2,38385.665993
2024-03-03 09:00:00,21.55666666666667,98.88666666666666,8.049999999999999,70.8,19.5,75.25999999999999,10.35,67.1,20.0,100.0,6.516666666666667,68.0,40054.676103
2024-03-03 10:00:00,22.703333333333333,94.10666666666668,8.433333333333334,72.86666666666666,20.666666666666668,70.00666666666666,13.8,69.2,21.33333333333333,94.40333333333332,8.05,70.39999999999999,41478.985975
2024-03-03 11:00:00,23.98,86.62666666666667,9.583333333333334,75.16666666666667,21.666666666666668,65.83666666666666,14.566666666666668,71.0,22.749999999999996,87.1875,8.433333333333334,73.6225,42583.920045
2024-03-03 12:00:00,25.05666666666667,79.69333333333333,10.733333333333334,77.10000000000001,22.5,62.575,14.95,72.5,24.166666666666664,79.97166666666666,8.816666666666666,76.845,43614.487788
2024-03-03 13:00:00,25.633333333333336,76.37333333333333,8.816666666666668,78.13333333333334,24.0,57.12,8.05,75.2,25.583333333333332,72.75583333333333,9.2,80.0675,44604.183122
2024-03-03 14:00:00,26.39,72.53666666666668,8.816666666666666,80.51,25.0,53.8,6.9,77.0,27.0,65.54,15.525,83.29,45549.896028
2024-03-03 15:00:00,27.22,66.57000000000001,7.283333333333334,84.06,25.0,53.79999999999999,10.35,77.0,27.33333333333333,61.73333333333333,13.416666666666666,83.55666666666667,46653.309861
2024-03-03 16:00:00,26.613333333333333,72.31,7.666666666666667,82.03,25.0,53.79999999999999,7.283333333333334,77.0,26.0,69.52,15.333333333333334,78.8,47587.505613
2024-03-03 17:00:00,25.57333333333333,79.39333333333333,9.966666666666669,78.03333333333335,24.0,57.12,6.133333333333333,75.2,24.666666666666668,75.3,14.183333333333332,76.39999999999999,48084.476608
2024-03-03 18:00:00,24.166666666666668,85.27999999999999,8.816666666666668,75.5,23.33333333333333,59.48666666666667,5.366666666666667,74.0,23.0,84.97666666666667,8.816666666666666,73.4,48322.854208
2024-03-03 19:00:00,22.94333333333333,89.02999999999999,7.283333333333334,73.3,22.0,65.90333333333334,3.8333333333333335,71.6,21.666666666666668,96.04,8.816666666666666,71.0,48326.772147
2024-03-03 20:00:00,21.96333333333333,95.04,6.900000000000001,71.53333333333335,20.666666666666668,74.64333333333333,3.4500000000000006,69.2,21.0,100.0,8.625,69.8,49067.154858
2024-03-03 21:00:00,21.426666666666662,99.55,6.133333333333333,70.56666666666666,20.33333333333333,76.19666666666667,2.3000000000000003,68.60000000000001,21.0,98.00333333333332,12.65,69.8,48635.845242
2024-03-03 22:00:00,21.35333333333333,100.0,6.900000000000001,70.43333333333334,21.0,73.09,5.75,69.8,21.0,96.00666666666666,8.816666666666668,69.8,47186.719066
2024-03-03 23:00:00,21.316666666666663,100.0,9.583333333333334,70.36666666666666,21.0,73.09,4.6,69.8,21.0,96.00666666666666,8.05,69.8,44868.69809
2024-03-04 00:00:00,21.46333333333333,100.0,8.433333333333334,70.63333333333334,20.0,85.56,9.775,68.0,20.33333333333333,98.00333333333332,7.666666666666667,68.60000000000001,42269.752733
2024-03-04 01:00:00,21.55666666666667,100.0,6.900000000000001,70.8,20.0,88.26,8.05,68.0,20.0,100.0,3.4500000000000006,68.0,40313.459042
2024-03-04 02:00:00,21.706666666666667,100.0,5.75,71.06666666666666,20.0,88.26,6.9,68.0,20.0,100.0,5.75,68.0,39021.291565
2024-03-04 03:00:00,21.78,100.0,4.216666666666666,71.2,20.0,88.26,5.75,68.0,20.0,100.0,4.216666666666667,68.0,38348.490728
2024-03-04 04:00:00,21.613333333333333,100.0,2.3000000000000003,70.89999999999999,20.0,88.26,5.75,68.0,20.0,100.0,6.900000000000001,68.0,38195.723053
2024-03-04 05:00:00,21.426666666666662,100.0,3.8333333333333335,70.56666666666666,20.0,88.26,5.75,68.0,20.666666666666668,100.0,6.900000000000001,69.2,38750.833961
2024-03-04 06:00:00,21.613333333333333,100.0,4.216666666666666,70.89999999999999,20.0,88.26,5.175,68.0,21.0,100.0,5.75,69.8,40422.703492
2024-03-04 07:00:00,21.46333333333333,100.0,3.8333333333333335,70.63333333333334,20.0,88.26,5.175000000000001,68.0,21.0,100.0,5.175,69.8,43273.596738
